,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
26038,INN26039,2,0,1,2,Meal Plan 1,0,Room_Type 4,142,2018,6,20,Offline,0,0,0,107.0,0,Not_Canceled
2721,INN02722,2,0,0,2,Meal Plan 1,0,Room_Type 7,5,2018,10,13,Online,0,0,0,215.6,1,Not_Canceled
23829,INN23830,2,0,2,4,Meal Plan 2,0,Room_Type 1,327,2017,9,9,Offline,0,0,0,88.0,0,Not_Canceled
24277,INN24278,2,0,2,2,Meal Plan 1,0,Room_Type 1,40,2017,9,19,Online,0,0,0,94.5,2,Not_Canceled
7509,INN07510,2,2,2,2,Meal Plan 1,0,Room_Type 6,30,2017,12,4,Online,0,0,0,184.5,0,Not_Canceled
33916,INN33917,2,0,2,3,Not Selected,0,Room_Type 1,223,2018,9,30,Online,0,0,0,73.96,0,Canceled
24426,INN24427,2,0,0,2,Not Selected,0,Room_Type 1,18,2018,4,12,Online,0,0,0,119.0,1,Not_Canceled
30685,INN30686,0,2,2,3,Meal Plan 1,0,Room_Type 2,151,2018,8,19,Online,0,0,0,99.3,1,Canceled
31280,INN31281,2,2,0,3,Meal Plan 1,0,Room_Type 6,89,2018,7,21,Online,0,0,0,183.3,0,Canceled
31713,INN31714,2,0,2,3,Meal Plan 1,0,Room_Type 1,62,2017,9,20,Online,0,0,0,68.72,0,Not_Canceled
34042,INN34043,3,0,2,1,Meal Plan 1,0,Room_Type 4,52,2018,8,27,Online,0,0,0,150.9,1,Canceled
26312,INN26313,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
13799,INN13800,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,115.0,1,Canceled
27812,INN27813,2,0,1,4,Meal Plan 1,0,Room_Type 1,45,2018,12,26,Online,0,0,0,104.72,2,Not_Canceled
15154,INN15155,2,0,0,2,Meal Plan 1,0,Room_Type 1,256,2018,8,26,Offline,0,0,0,72.25,1,Not_Canceled
32928,INN32929,1,0,1,1,Meal Plan 1,0,Room_Type 1,24,2017,9,19,Online,0,0,0,87.78,2,Not_Canceled
14783,INN14784,1,0,0,3,Not Selected,0,Room_Type 1,4,2018,10,25,Online,0,0,0,84.7,1,Not_Canceled
30419,INN30420,2,0,2,5,Meal Plan 1,0,Room_Type 4,12,2018,3,3,Online,0,0,0,111.14,0,Canceled
33040,INN33041,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
33692,INN33693,1,0,1,0,Meal Plan 1,0,Room_Type 1,2,2017,8,30,Online,0,0,0,96.0,1,Not_Canceled
16344,INN16345,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,9,Online,0,0,0,79.31,1,Not_Canceled
29670,INN29671,2,0,1,2,Meal Plan 2,0,Room_Type 2,161,2018,3,25,Offline,0,0,0,130.0,0,Canceled
10832,INN10833,2,0,2,1,Meal Plan 1,0,Room_Type 1,66,2018,9,18,Offline,0,0,0,80.75,0,Not_Canceled
15749,INN15750,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,10,13,Online,0,0,0,155.0,1,Not_Canceled
9053,INN09054,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115.0,0,Canceled
1505,INN01506,2,0,0,2,Not Selected,0,Room_Type 1,29,2018,6,8,Online,0,0,0,103.55,0,Not_Canceled
6054,INN06055,1,0,1,2,Meal Plan 1,0,Room_Type 5,192,2018,9,5,Corporate,0,0,0,106.0,0,Canceled
16980,INN16981,3,0,0,3,Meal Plan 1,0,Room_Type 4,32,2018,7,28,Online,0,0,0,168.3,1,Not_Canceled
4225,INN04226,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,6,3,Offline,0,0,0,100.0,0,Not_Canceled
18934,INN18935,2,0,0,2,Not Selected,0,Room_Type 1,9,2018,1,14,Online,0,0,0,67.5,0,Not_Canceled
8633,INN08634,2,0,2,2,Meal Plan 1,0,Room_Type 1,32,2018,3,13,Offline,0,0,0,85.0,0,Not_Canceled
29519,INN29520,2,0,1,1,Not Selected,0,Room_Type 1,33,2018,4,18,Online,0,0,0,80.1,0,Not_Canceled
23824,INN23825,3,0,1,2,Meal Plan 1,1,Room_Type 4,141,2018,9,5,Online,0,0,0,168.3,2,Not_Canceled
35219,INN35220,2,0,2,4,Meal Plan 2,0,Room_Type 1,88,2018,10,22,Offline,0,0,0,106.25,0,Not_Canceled
6768,INN06769,2,0,0,4,Meal Plan 1,0,Room_Type 1,1,2018,2,10,Online,0,0,0,93.0,2,Not_Canceled
3199,INN03200,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,0,0,0,120.0,0,Canceled
35791,INN35792,2,0,2,1,Meal Plan 1,0,Room_Type 1,39,2018,5,7,Online,0,0,0,126.9,0,Not_Canceled
6449,INN06450,2,0,0,3,Meal Plan 1,0,Room_Type 4,61,2018,3,10,Online,0,0,0,87.3,0,Canceled
7951,INN07952,2,0,1,5,Meal Plan 1,0,Room_Type 1,41,2018,12,27,Offline,0,0,0,70.0,1,Not_Canceled
28132,INN28133,2,0,1,5,Meal Plan 1,0,Room_Type 4,2,2018,6,13,Offline,0,0,0,90.95,0,Not_Canceled
14626,INN14627,2,0,2,5,Meal Plan 1,0,Room_Type 1,134,2018,6,9,Online,0,0,0,119.85,1,Canceled
36038,INN36039,1,0,0,1,Not Selected,0,Room_Type 1,36,2018,4,29,Offline,0,0,0,111.6,0,Not_Canceled
29428,INN29429,1,0,0,4,Meal Plan 2,0,Room_Type 1,323,2018,5,17,Offline,0,0,0,86.0,0,Not_Canceled
15804,INN15805,2,0,2,0,Meal Plan 1,0,Room_Type 4,30,2018,9,4,Online,0,0,0,110.97,0,Canceled
19028,INN19029,2,0,1,2,Meal Plan 1,0,Room_Type 1,40,2017,10,5,Online,0,0,0,94.5,2,Not_Canceled
4435,INN04436,1,0,1,2,Meal Plan 1,0,Room_Type 1,5,2017,10,19,Offline,0,0,0,80.0,0,Not_Canceled
11357,INN11358,2,0,0,1,Meal Plan 1,0,Room_Type 2,280,2018,8,12,Online,0,0,0,94.95,1,Canceled
28215,INN28216,1,0,1,0,Meal Plan 1,0,Room_Type 1,2,2018,12,18,Online,0,0,0,89.5,2,Not_Canceled
31044,INN31045,2,0,1,1,Meal Plan 1,0,Room_Type 1,17,2018,2,22,Offline,0,0,0,87.0,1,Not_Canceled
29645,INN29646,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
13668,INN13669,2,0,2,2,Not Selected,0,Room_Type 1,18,2018,11,25,Online,0,0,0,74.8,0,Canceled
14645,INN14646,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,8,11,Online,0,0,0,95.0,2,Not_Canceled
15706,INN15707,2,0,2,4,Meal Plan 1,0,Room_Type 1,125,2017,7,15,Online,0,0,0,76.5,0,Canceled
20871,INN20872,2,0,0,4,Not Selected,0,Room_Type 1,6,2018,12,28,Online,0,0,0,104.2,1,Not_Canceled
18445,INN18446,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
21029,INN21030,2,0,0,2,Not Selected,0,Room_Type 1,151,2018,11,25,Online,0,0,0,79.2,1,Canceled
25496,INN25497,2,0,1,0,Not Selected,0,Room_Type 1,49,2018,7,11,Online,0,0,0,93.15,0,Canceled
27388,INN27389,1,0,0,1,Not Selected,0,Room_Type 1,15,2018,4,14,Online,1,0,1,98.1,0,Not_Canceled
3775,INN03776,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65.0,0,Canceled
20382,INN20383,2,0,2,2,Not Selected,0,Room_Type 1,208,2018,7,30,Online,0,0,0,80.75,0,Canceled
16374,INN16375,2,0,2,1,Meal Plan 1,0,Room_Type 4,49,2018,3,19,Online,0,0,0,121.5,0,Not_Canceled
5596,INN05597,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Online,0,0,0,62.8,0,Canceled
35375,INN35376,2,0,2,4,Meal Plan 1,0,Room_Type 1,145,2018,6,26,Online,0,0,0,90.95,2,Canceled
27125,INN27126,1,0,2,2,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Offline,0,0,0,185.0,0,Not_Canceled
9297,INN09298,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
23649,INN23650,2,0,0,3,Meal Plan 1,0,Room_Type 1,34,2018,6,28,Offline,0,0,0,76.5,0,Not_Canceled
35329,INN35330,2,0,2,1,Meal Plan 2,0,Room_Type 1,124,2017,8,8,Offline,0,0,0,94.5,0,Not_Canceled
32407,INN32408,2,0,1,4,Meal Plan 1,0,Room_Type 1,174,2018,7,11,Online,0,0,0,90.95,0,Canceled
33882,INN33883,2,0,1,1,Not Selected,0,Room_Type 1,26,2018,10,17,Online,0,0,0,87.05,1,Not_Canceled
29931,INN29932,2,1,2,5,Meal Plan 1,0,Room_Type 1,177,2018,10,2,Online,0,0,0,125.1,1,Canceled
4174,INN04175,2,0,0,1,Not Selected,0,Room_Type 1,81,2018,8,16,Online,0,0,0,125.1,2,Not_Canceled
32221,INN32222,2,0,2,2,Not Selected,0,Room_Type 1,38,2018,2,6,Online,0,0,0,53.97,2,Not_Canceled
8737,INN08738,2,0,0,5,Meal Plan 1,0,Room_Type 1,230,2018,9,6,Offline,0,0,0,137.0,1,Canceled
9216,INN09217,2,0,1,1,Meal Plan 2,0,Room_Type 1,4,2018,5,21,Offline,0,0,0,112.0,1,Not_Canceled
23308,INN23309,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,10,26,Online,0,0,0,104.0,0,Not_Canceled
29424,INN29425,2,0,1,4,Meal Plan 1,0,Room_Type 1,240,2018,7,13,Online,0,0,0,90.95,0,Canceled
30941,INN30942,2,0,2,3,Meal Plan 1,0,Room_Type 1,25,2017,11,22,Offline,0,0,0,65.0,0,Not_Canceled
15581,INN15582,2,0,2,4,Meal Plan 1,0,Room_Type 1,172,2018,8,12,Online,0,0,0,99.45,1,Not_Canceled
25855,INN25856,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,21,Online,0,0,0,139.0,1,Not_Canceled
10143,INN10144,2,0,0,1,Meal Plan 1,1,Room_Type 7,4,2017,11,20,Complementary,0,0,0,0.0,2,Not_Canceled
35360,INN35361,3,0,2,1,Meal Plan 1,0,Room_Type 4,147,2018,9,3,Online,0,0,0,177.3,0,Canceled
8543,INN08544,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,90.0,1,Not_Canceled
34330,INN34331,1,0,2,2,Meal Plan 1,0,Room_Type 1,38,2018,11,27,Online,0,0,0,88.4,2,Not_Canceled
983,INN00984,2,0,2,5,Meal Plan 1,0,Room_Type 1,38,2018,8,4,Offline,0,0,0,85.0,0,Not_Canceled
8033,INN08034,2,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,5,21,Online,0,0,0,117.9,1,Not_Canceled
5480,INN05481,2,0,0,2,Not Selected,0,Room_Type 1,96,2018,11,25,Online,0,0,0,79.2,2,Canceled
35055,INN35056,2,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,108.0,0,Not_Canceled
14894,INN14895,2,0,1,5,Meal Plan 1,0,Room_Type 1,147,2018,9,12,Online,0,0,0,126.9,0,Canceled
21181,INN21182,2,0,0,2,Not Selected,0,Room_Type 1,77,2018,4,15,Online,0,0,0,94.5,1,Not_Canceled
32108,INN32109,2,0,1,2,Meal Plan 1,0,Room_Type 1,80,2018,3,25,Online,0,0,0,85.5,2,Not_Canceled
20046,INN20047,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Canceled
24327,INN24328,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,Not_Canceled
10486,INN10487,2,0,1,0,Meal Plan 1,0,Room_Type 1,82,2018,6,26,Online,0,0,0,96.3,1,Not_Canceled
23331,INN23332,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90.0,0,Not_Canceled
4657,INN04658,2,0,0,3,Meal Plan 1,0,Room_Type 1,131,2018,8,3,Offline,0,0,0,87.03,3,Not_Canceled
6414,INN06415,3,0,0,4,Meal Plan 1,0,Room_Type 4,29,2018,4,5,Online,0,0,0,119.77,2,Not_Canceled
15386,INN15387,2,0,2,2,Meal Plan 1,0,Room_Type 4,90,2018,8,7,Online,0,0,0,133.2,0,Not_Canceled
26181,INN26182,2,0,0,3,Meal Plan 1,1,Room_Type 1,90,2018,3,24,Offline,0,0,0,72.58,1,Not_Canceled
3150,INN03151,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Offline,0,0,0,70.0,1,Not_Canceled
31711,INN31712,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,4,21,Online,0,0,0,81.08,0,Canceled
30888,INN30889,2,0,1,1,Not Selected,0,Room_Type 1,8,2018,7,16,Online,0,0,0,139.0,0,Canceled
21197,INN21198,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,2018,9,26,Offline,0,0,0,95.0,0,Canceled
15861,INN15862,3,0,2,1,Meal Plan 1,0,Room_Type 4,67,2018,4,3,Online,0,0,0,128.7,1,Canceled
9265,INN09266,2,0,0,1,Meal Plan 1,0,Room_Type 4,19,2018,4,30,Online,0,0,0,156.0,0,Canceled
5969,INN05970,1,0,2,4,Meal Plan 1,0,Room_Type 1,11,2018,11,5,Online,0,0,0,106.35,1,Not_Canceled
14998,INN14999,2,0,1,4,Meal Plan 1,0,Room_Type 4,26,2017,10,5,Online,0,0,0,106.93,1,Not_Canceled
11891,INN11892,1,0,2,0,Meal Plan 1,0,Room_Type 1,4,2018,11,13,Corporate,0,0,0,75.0,1,Not_Canceled
29719,INN29720,2,0,0,5,Meal Plan 1,0,Room_Type 1,44,2018,2,23,Online,0,0,0,74.82,1,Not_Canceled
19323,INN19324,2,0,1,4,Meal Plan 1,0,Room_Type 2,187,2018,9,12,Offline,0,0,0,80.75,0,Not_Canceled
15454,INN15455,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,2018,2,21,Online,0,0,0,80.3,1,Not_Canceled
29086,INN29087,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
17724,INN17725,1,0,2,2,Meal Plan 1,0,Room_Type 1,163,2018,6,5,Offline,0,0,0,100.0,0,Canceled
35796,INN35797,2,0,1,3,Meal Plan 1,0,Room_Type 1,163,2018,7,7,Online,0,0,0,99.45,1,Not_Canceled
1391,INN01392,2,0,2,2,Meal Plan 1,0,Room_Type 1,13,2017,11,8,Online,0,0,0,90.95,1,Not_Canceled
32178,INN32179,2,0,2,3,Meal Plan 1,0,Room_Type 4,105,2018,7,31,Online,0,0,0,139.5,0,Canceled
7437,INN07438,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled
31460,INN31461,2,0,2,1,Not Selected,1,Room_Type 1,156,2018,8,21,Online,0,0,0,103.5,0,Canceled
8802,INN08803,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2017,11,6,Online,0,0,0,86.47,2,Not_Canceled
5565,INN05566,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
33581,INN33582,1,0,0,1,Not Selected,0,Room_Type 5,6,2018,11,16,Online,0,0,0,120.0,0,Not_Canceled
371,INN00372,2,0,2,2,Meal Plan 1,0,Room_Type 4,102,2018,7,10,Offline,0,0,0,82.45,0,Not_Canceled
6146,INN06147,2,0,0,2,Meal Plan 1,0,Room_Type 4,10,2018,4,8,Online,0,0,0,131.0,1,Canceled
32161,INN32162,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,1,27,Online,0,0,0,71.7,0,Not_Canceled
9775,INN09776,1,0,1,1,Meal Plan 1,0,Room_Type 1,5,2018,9,19,Corporate,1,0,2,65.0,1,Not_Canceled
17796,INN17797,2,0,0,4,Meal Plan 1,0,Room_Type 4,91,2018,4,6,Online,0,0,0,69.64,0,Not_Canceled
30560,INN30561,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
28386,INN28387,1,0,1,4,Meal Plan 1,0,Room_Type 1,209,2017,7,29,Online,0,0,0,55.96,0,Canceled
18640,INN18641,2,0,0,3,Meal Plan 1,0,Room_Type 1,155,2018,10,20,Offline,0,0,0,97.2,0,Canceled
33639,INN33640,2,0,0,3,Meal Plan 1,0,Room_Type 1,86,2017,12,30,Online,0,0,0,81.86,1,Not_Canceled
22202,INN22203,3,0,1,2,Meal Plan 1,0,Room_Type 1,188,2018,10,24,Online,0,0,0,94.14,1,Not_Canceled
22504,INN22505,2,0,2,2,Not Selected,0,Room_Type 1,153,2018,10,16,Offline,0,0,0,72.25,1,Not_Canceled
2212,INN02213,2,0,0,3,Not Selected,0,Room_Type 1,33,2018,3,15,Online,0,0,0,71.1,1,Not_Canceled
5603,INN05604,3,0,2,1,Meal Plan 1,0,Room_Type 4,113,2018,8,6,Online,0,0,0,121.21,0,Canceled
27198,INN27199,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107.0,0,Canceled
8881,INN08882,2,0,0,2,Meal Plan 1,0,Room_Type 4,203,2018,8,17,Online,0,0,0,114.3,2,Canceled
22388,INN22389,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,4,20,Corporate,1,0,7,65.0,0,Not_Canceled
5417,INN05418,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
4938,INN04939,2,0,1,2,Meal Plan 1,0,Room_Type 4,9,2018,8,26,Online,0,0,0,151.67,1,Canceled
13434,INN13435,2,0,1,2,Meal Plan 1,0,Room_Type 1,70,2018,11,4,Online,0,0,0,93.6,0,Canceled
20008,INN20009,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,11,24,Corporate,1,1,3,67.0,1,Not_Canceled
3158,INN03159,2,1,2,3,Meal Plan 1,0,Room_Type 4,208,2018,4,23,Offline,0,0,0,90.0,1,Not_Canceled
20651,INN20652,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,5,4,Aviation,0,0,0,95.0,0,Not_Canceled
9158,INN09159,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,30,Online,0,0,0,80.0,1,Not_Canceled
463,INN00464,2,0,2,6,Meal Plan 1,0,Room_Type 1,166,2018,8,18,Online,0,0,0,100.12,0,Canceled
18138,INN18139,1,0,0,4,Meal Plan 1,0,Room_Type 4,23,2018,6,1,Online,0,0,0,137.65,1,Not_Canceled
31410,INN31411,2,0,3,6,Meal Plan 1,0,Room_Type 1,72,2017,7,6,Online,0,0,0,76.5,1,Canceled
615,INN00616,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2017,9,5,Online,0,0,0,94.5,3,Not_Canceled
6380,INN06381,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,3,11,Offline,0,0,0,84.33,1,Not_Canceled
20213,INN20214,2,1,1,2,Meal Plan 1,0,Room_Type 1,9,2018,6,17,Offline,0,0,0,95.0,1,Not_Canceled
29058,INN29059,2,0,2,2,Not Selected,0,Room_Type 1,13,2018,11,12,Online,0,0,0,85.85,0,Not_Canceled
16762,INN16763,2,0,1,2,Meal Plan 1,0,Room_Type 1,156,2018,7,25,Online,0,0,0,105.3,0,Canceled
11298,INN11299,3,0,0,2,Meal Plan 1,0,Room_Type 4,52,2018,7,12,Online,0,0,0,137.7,1,Not_Canceled
12995,INN12996,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65.0,0,Not_Canceled
8181,INN08182,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,10,22,Online,0,0,0,120.0,1,Not_Canceled
17719,INN17720,2,0,2,5,Meal Plan 1,0,Room_Type 4,69,2018,9,4,Online,0,0,0,149.4,1,Canceled
13511,INN13512,2,2,1,2,Meal Plan 1,0,Room_Type 6,168,2018,7,4,Online,0,0,0,168.3,0,Canceled
16574,INN16575,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,2018,2,5,Online,0,0,0,108.0,0,Not_Canceled
2716,INN02717,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,9,12,Online,0,0,0,135.9,2,Not_Canceled
32072,INN32073,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100.0,1,Not_Canceled
26220,INN26221,2,0,2,2,Meal Plan 1,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,77.0,1,Not_Canceled
32696,INN32697,2,0,1,0,Not Selected,0,Room_Type 1,24,2018,8,21,Online,0,0,0,139.0,1,Canceled
32679,INN32680,2,0,1,0,Meal Plan 1,0,Room_Type 1,28,2017,9,7,Online,0,0,0,79.25,1,Canceled
5178,INN05179,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Online,0,0,0,120.0,0,Canceled
20181,INN20182,1,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,93.0,0,Not_Canceled
32223,INN32224,2,0,1,3,Meal Plan 1,0,Room_Type 1,85,2018,11,24,Online,0,0,0,88.4,0,Canceled
10003,INN10004,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,10,11,Corporate,1,1,2,65.0,1,Not_Canceled
22706,INN22707,2,2,0,4,Meal Plan 1,0,Room_Type 6,29,2017,10,14,Online,0,0,0,163.58,1,Not_Canceled
13639,INN13640,1,0,2,5,Meal Plan 1,0,Room_Type 1,7,2018,11,2,Corporate,1,0,2,65.0,1,Not_Canceled
31412,INN31413,2,0,1,2,Not Selected,0,Room_Type 1,77,2018,4,15,Online,0,0,0,68.04,1,Not_Canceled
7389,INN07390,2,1,2,3,Meal Plan 1,0,Room_Type 1,208,2018,10,22,Online,0,0,0,112.5,0,Canceled
18278,INN18279,2,0,1,0,Meal Plan 1,0,Room_Type 1,20,2018,6,12,Online,0,0,0,94.35,0,Not_Canceled
25783,INN25784,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
21045,INN21046,2,0,2,1,Meal Plan 1,1,Room_Type 1,19,2017,12,5,Online,0,0,0,122.0,1,Not_Canceled
14356,INN14357,2,0,0,4,Meal Plan 1,0,Room_Type 6,2,2018,6,29,Online,0,0,0,214.0,0,Canceled
34011,INN34012,2,0,2,1,Not Selected,0,Room_Type 1,98,2018,4,9,Online,0,0,0,82.5,0,Not_Canceled
7769,INN07770,1,0,0,1,Meal Plan 1,0,Room_Type 1,34,2018,4,12,Offline,0,0,0,99.9,0,Not_Canceled
23474,INN23475,2,0,2,5,Not Selected,0,Room_Type 1,157,2018,8,25,Online,0,0,0,80.75,0,Canceled
6221,INN06222,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Online,0,0,0,144.0,0,Canceled
31286,INN31287,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,117.9,2,Canceled
25765,INN25766,1,0,2,5,Not Selected,0,Room_Type 1,23,2018,10,30,Online,0,0,0,89.64,1,Canceled
13386,INN13387,2,0,2,3,Meal Plan 1,0,Room_Type 1,48,2017,10,18,Online,0,0,0,94.5,2,Not_Canceled
21378,INN21379,2,0,1,0,Meal Plan 1,0,Room_Type 1,6,2018,3,20,Offline,0,0,0,85.0,1,Not_Canceled
9499,INN09500,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Online,0,0,0,91.0,1,Not_Canceled
28129,INN28130,2,0,0,5,Meal Plan 1,0,Room_Type 4,40,2018,8,23,Online,0,0,0,149.4,0,Not_Canceled
7037,INN07038,3,0,2,2,Meal Plan 1,0,Room_Type 4,2,2018,12,2,Online,0,0,0,119.0,1,Not_Canceled
15474,INN15475,2,0,0,3,Meal Plan 1,0,Room_Type 1,120,2018,6,15,Offline,0,0,0,80.75,0,Not_Canceled
11646,INN11647,2,0,0,3,Meal Plan 1,0,Room_Type 1,314,2018,10,12,Offline,0,0,0,75.0,0,Canceled
15897,INN15898,1,0,0,3,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,80.0,0,Not_Canceled
10570,INN10571,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,2,25,Offline,0,0,0,62.0,1,Not_Canceled
15511,INN15512,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,6,20,Corporate,0,0,0,95.0,0,Not_Canceled
30353,INN30354,1,0,2,4,Meal Plan 1,0,Room_Type 1,31,2018,5,15,Corporate,0,0,0,95.0,1,Not_Canceled
33935,INN33936,2,0,2,3,Meal Plan 1,0,Room_Type 1,125,2017,10,15,Online,0,0,0,89.25,1,Not_Canceled
30501,INN30502,1,0,2,3,Meal Plan 1,0,Room_Type 1,17,2018,11,6,Online,0,0,0,112.57,1,Not_Canceled
30703,INN30704,2,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,6,12,Online,0,0,0,121.0,1,Not_Canceled
6358,INN06359,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75.0,0,Canceled
33698,INN33699,2,0,1,2,Meal Plan 1,0,Room_Type 1,29,2018,4,1,Online,0,0,0,128.6,1,Not_Canceled
35693,INN35694,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75.0,0,Canceled
20376,INN20377,3,0,2,3,Meal Plan 1,0,Room_Type 4,35,2018,9,25,Online,0,0,0,156.24,2,Not_Canceled
6691,INN06692,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90.0,0,Not_Canceled
10785,INN10786,2,0,1,0,Not Selected,0,Room_Type 1,44,2018,10,16,Online,0,0,0,89.1,2,Not_Canceled
15881,INN15882,1,0,2,3,Meal Plan 2,0,Room_Type 1,137,2018,12,24,Online,0,0,0,117.3,2,Not_Canceled
1030,INN01031,2,0,1,2,Meal Plan 1,0,Room_Type 1,11,2018,10,3,Offline,0,0,0,85.0,0,Not_Canceled
9164,INN09165,2,1,0,2,Meal Plan 1,0,Room_Type 6,49,2018,7,20,Online,0,0,0,198.9,0,Canceled
18604,INN18605,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,1,29,Online,0,0,0,80.0,1,Not_Canceled
28350,INN28351,2,0,1,5,Meal Plan 1,1,Room_Type 4,110,2018,8,1,Online,0,0,0,129.3,1,Not_Canceled
9488,INN09489,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,29,Online,0,0,0,90.0,0,Not_Canceled
1577,INN01578,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
23122,INN23123,2,0,2,0,Meal Plan 1,0,Room_Type 1,87,2018,10,30,Online,0,0,0,90.9,1,Canceled
15859,INN15860,2,0,2,2,Meal Plan 1,0,Room_Type 1,131,2018,10,21,Online,0,0,0,86.9,1,Not_Canceled
